"","13","14"
"Feature1",0.817875110403098,0.75560551106202
"Feature2",0.727437745578708,0.693509942542741
"Feature3",0.885737435721688,0.833117124588603
"Feature4",0.898447155115913,0.908603176197486
"Feature5",0.879851428418248,0.895839117445272
"Feature6",0.799271821260995,0.754142976753768
"Feature7",1.0278172760941,1.10982010919012
"Feature8",1.0258960762428,1.14756057641981
"Feature9",1.09034182895058,1.02553713827866
"Feature10",0.719914810279462,0.749171741384632
"Feature11",0.863520547028514,0.819025297484634
"Feature12",0.90232667225184,0.904695161278119
"Feature13",0.738470902439214,0.754481333508974
"Feature14",0.830771484291562,0.790399110493151
"Feature15",1.07468276099896,1.11808436223599
"Feature16",0.923974449408431,0.868819402024762
"Feature17",1.04093081669778,1.05391838257788
"Feature18",0.816167189885692,0.81340454859819
"Feature19",1.13456140451572,1.12568357072104
"Feature20",0.859123882526135,0.916016886523653
"Feature21",0.46432348408916,0.53136772837117
"Feature22",0.655214537172356,0.638732486219514
"Feature23",1.09372940038717,1.12239016339882
"Feature24",0.931003255217259,0.98335897757608
"Feature25",0.824667499713323,0.829776814466528
"Feature26",1.13695748012331,1.21088929350387
"Feature27",1.32449222543371,1.21101809691756
"Feature28",1.0963964387218,1.08336810591405
"Feature29",1.10506712984276,1.10003767217312
"Feature30",0.799765493494804,0.837854589447341
"Feature31",0.851907323189483,0.89755996766275
"Feature32",0.856671220530214,0.844592313953699
"Feature33",0.633974067540128,0.62997385720993
"Feature34",0.83527509963492,0.745596843111564
"Feature35",0.774756664763392,0.817791614849149
"Feature36",0.862328761447977,0.931315923683365
"Feature37",0.908432809085053,0.941814858615134
"Feature38",0.905565622756854,0.850134797913929
"Feature39",1.14373632602558,1.17754919405025
"Feature40",0.881332114252762,0.898877909509561
"Feature41",0.668574731521777,0.692820554974123
"Feature42",0.877610945012697,0.887077657988752
"Feature43",0.925947354935684,0.903605269988356
"Feature44",1.10696568954979,1.05626806425857
"Feature45",0.849564385810376,0.885702571120398
"Feature46",0.800338975717264,0.853066323726639
"Feature47",1.19833464310119,1.19096188640583
"Feature48",1.21973456436001,1.28636859442367
"Feature49",1.10453972283668,1.08758286688469
"Feature50",0.839148795705893,0.841426832465656
"Feature51",0.919564968001301,0.954423906260126
"Feature52",1.04811193262238,1.08449267702395
"Feature53",0.629028484212249,0.683718488355183
"Feature54",0.962218462837902,0.989336572052898
"Feature55",0.6100119942089,0.613841101548922
"Feature56",0.673433933288174,0.625112303646946
"Feature57",0.898669962503493,0.852621074170814
"Feature58",1.03369853280714,1.05125264303407
"Feature59",0.77923224051867,0.812125204187613
"Feature60",1.04392396306122,1.10296567622888
"Feature61",0.775325475991457,0.783586929624751
"Feature62",0.869380528208863,0.872626436343647
"Feature63",0.826867015444225,0.808383117675552
"Feature64",0.923537582415305,0.890110238914078
"Feature65",0.923268396248035,0.917439530011239
